state,county,candidate,party,total_votes,won
North Carolina,Duplin County, Write-ins,WRI,21,FALSE
North Carolina,Duplin County,Don Blankenship,CST,17,FALSE
North Carolina,Durham County,Joe Biden,DEM,144690,TRUE
North Carolina,Durham County,Donald Trump,REP,32461,FALSE
North Carolina,Durham County,Jo Jorgensen,LIB,1504,FALSE
North Carolina,Durham County, Write-ins,WRI,538,FALSE
North Carolina,Durham County,Howie Hawkins,GRN,519,FALSE
North Carolina,Durham County,Don Blankenship,CST,206,FALSE
North Carolina,Edgecombe County,Joe Biden,DEM,16089,TRUE
North Carolina,Edgecombe County,Donald Trump,REP,9206,FALSE
North Carolina,Edgecombe County,Jo Jorgensen,LIB,97,FALSE
North Carolina,Edgecombe County,Howie Hawkins,GRN,33,FALSE
North Carolina,Edgecombe County,Don Blankenship,CST,27,FALSE
North Carolina,Edgecombe County, Write-ins,WRI,25,FALSE
North Carolina,Forsyth County,Joe Biden,DEM,113029,TRUE
North Carolina,Forsyth County,Donald Trump,REP,85060,FALSE
North Carolina,Forsyth County,Jo Jorgensen,LIB,1785,FALSE
North Carolina,Forsyth County, Write-ins,WRI,591,FALSE
North Carolina,Forsyth County,Howie Hawkins,GRN,499,FALSE
North Carolina,Forsyth County,Don Blankenship,CST,298,FALSE
North Carolina,Franklin County,Donald Trump,REP,20904,TRUE
North Carolina,Franklin County,Joe Biden,DEM,15882,FALSE
North Carolina,Franklin County,Jo Jorgensen,LIB,333,FALSE
North Carolina,Franklin County, Write-ins,WRI,90,FALSE
North Carolina,Franklin County,Howie Hawkins,GRN,75,FALSE
North Carolina,Franklin County,Don Blankenship,CST,73,FALSE
North Carolina,Gaston County,Donald Trump,REP,73033,TRUE
North Carolina,Gaston County,Joe Biden,DEM,40959,FALSE
North Carolina,Gaston County,Jo Jorgensen,LIB,910,FALSE
North Carolina,Gaston County, Write-ins,WRI,229,FALSE
North Carolina,Gaston County,Howie Hawkins,GRN,225,FALSE
North Carolina,Gaston County,Don Blankenship,CST,142,FALSE
North Carolina,Gates County,Donald Trump,REP,3367,TRUE
North Carolina,Gates County,Joe Biden,DEM,2546,FALSE
North Carolina,Gates County,Jo Jorgensen,LIB,41,FALSE
North Carolina,Gates County,Don Blankenship,CST,7,FALSE
North Carolina,Gates County, Write-ins,WRI,6,FALSE
North Carolina,Gates County,Howie Hawkins,GRN,4,FALSE
North Carolina,Graham County,Donald Trump,REP,3710,TRUE
North Carolina,Graham County,Joe Biden,DEM,905,FALSE
North Carolina,Graham County,Jo Jorgensen,LIB,26,FALSE
North Carolina,Graham County,Don Blankenship,CST,13,FALSE
North Carolina,Graham County, Write-ins,WRI,6,FALSE
North Carolina,Graham County,Howie Hawkins,GRN,5,FALSE
North Carolina,Granville County,Donald Trump,REP,16647,TRUE
North Carolina,Granville County,Joe Biden,DEM,14565,FALSE
North Carolina,Granville County,Jo Jorgensen,LIB,244,FALSE
North Carolina,Granville County, Write-ins,WRI,56,FALSE
North Carolina,Granville County,Howie Hawkins,GRN,55,FALSE
North Carolina,Granville County,Don Blankenship,CST,31,FALSE
North Carolina,Greene County,Donald Trump,REP,4874,TRUE
North Carolina,Greene County,Joe Biden,DEM,3832,FALSE
North Carolina,Greene County,Jo Jorgensen,LIB,26,FALSE
North Carolina,Greene County, Write-ins,WRI,9,FALSE
North Carolina,Greene County,Howie Hawkins,GRN,8,FALSE
North Carolina,Greene County,Don Blankenship,CST,4,FALSE
North Carolina,Guilford County,Joe Biden,DEM,173086,TRUE
North Carolina,Guilford County,Donald Trump,REP,107294,FALSE
North Carolina,Guilford County,Jo Jorgensen,LIB,2232,FALSE
North Carolina,Guilford County, Write-ins,WRI,747,FALSE
North Carolina,Guilford County,Howie Hawkins,GRN,704,FALSE
North Carolina,Guilford County,Don Blankenship,CST,423,FALSE
North Carolina,Halifax County,Joe Biden,DEM,15545,TRUE
North Carolina,Halifax County,Donald Trump,REP,10080,FALSE
North Carolina,Halifax County,Jo Jorgensen,LIB,62,FALSE
North Carolina,Halifax County,Howie Hawkins,GRN,31,FALSE
North Carolina,Halifax County,Don Blankenship,CST,24,FALSE
North Carolina,Halifax County, Write-ins,WRI,17,FALSE
North Carolina,Harnett County,Donald Trump,REP,35177,TRUE
North Carolina,Harnett County,Joe Biden,DEM,22093,FALSE
North Carolina,Harnett County,Jo Jorgensen,LIB,708,FALSE
North Carolina,Harnett County,Howie Hawkins,GRN,125,FALSE
North Carolina,Harnett County, Write-ins,WRI,110,FALSE
North Carolina,Harnett County,Don Blankenship,CST,80,FALSE
North Carolina,Haywood County,Donald Trump,REP,22834,TRUE
North Carolina,Haywood County,Joe Biden,DEM,13144,FALSE
North Carolina,Haywood County,Jo Jorgensen,LIB,334,FALSE
North Carolina,Haywood County,Howie Hawkins,GRN,89,FALSE
North Carolina,Haywood County, Write-ins,WRI,85,FALSE
North Carolina,Haywood County,Don Blankenship,CST,56,FALSE
North Carolina,Henderson County,Donald Trump,REP,40032,TRUE
North Carolina,Henderson County,Joe Biden,DEM,27211,FALSE
North Carolina,Henderson County,Jo Jorgensen,LIB,670,FALSE
North Carolina,Henderson County,Howie Hawkins,GRN,175,FALSE
North Carolina,Henderson County, Write-ins,WRI,152,FALSE
North Carolina,Henderson County,Don Blankenship,CST,131,FALSE
North Carolina,Hertford County,Joe Biden,DEM,7097,TRUE
North Carolina,Hertford County,Donald Trump,REP,3479,FALSE
North Carolina,Hertford County,Jo Jorgensen,LIB,28,FALSE
North Carolina,Hertford County, Write-ins,WRI,14,FALSE
North Carolina,Hertford County,Howie Hawkins,GRN,9,FALSE
North Carolina,Hertford County,Don Blankenship,CST,7,FALSE
North Carolina,Hoke County,Joe Biden,DEM,11804,TRUE
North Carolina,Hoke County,Donald Trump,REP,9453,FALSE
North Carolina,Hoke County,Jo Jorgensen,LIB,262,FALSE
North Carolina,Hoke County,Howie Hawkins,GRN,50,FALSE
North Carolina,Hoke County, Write-ins,WRI,39,FALSE
North Carolina,Hoke County,Don Blankenship,CST,31,FALSE
North Carolina,Hyde County,Donald Trump,REP,1418,TRUE
North Carolina,Hyde County,Joe Biden,DEM,1046,FALSE
North Carolina,Hyde County,Jo Jorgensen,LIB,17,FALSE
North Carolina,Hyde County,Howie Hawkins,GRN,6,FALSE
North Carolina,Hyde County, Write-ins,WRI,4,FALSE
North Carolina,Hyde County,Don Blankenship,CST,1,FALSE
North Carolina,Iredell County,Donald Trump,REP,67010,TRUE
North Carolina,Iredell County,Joe Biden,DEM,33888,FALSE
North Carolina,Iredell County,Jo Jorgensen,LIB,907,FALSE
North Carolina,Iredell County, Write-ins,WRI,238,FALSE
North Carolina,Iredell County,Howie Hawkins,GRN,178,FALSE
North Carolina,Iredell County,Don Blankenship,CST,150,FALSE
North Carolina,Jackson County,Donald Trump,REP,11356,TRUE
North Carolina,Jackson County,Joe Biden,DEM,9591,FALSE
North Carolina,Jackson County,Jo Jorgensen,LIB,257,FALSE
North Carolina,Jackson County,Howie Hawkins,GRN,102,FALSE
North Carolina,Jackson County, Write-ins,WRI,64,FALSE
North Carolina,Jackson County,Don Blankenship,CST,58,FALSE
North Carolina,Johnston County,Donald Trump,REP,68354,TRUE
North Carolina,Johnston County,Joe Biden,DEM,41261,FALSE
North Carolina,Johnston County,Jo Jorgensen,LIB,1164,FALSE
North Carolina,Johnston County, Write-ins,WRI,218,FALSE
North Carolina,Johnston County,Howie Hawkins,GRN,215,FALSE
North Carolina,Johnston County,Don Blankenship,CST,150,FALSE
North Carolina,Jones County,Donald Trump,REP,3280,TRUE
North Carolina,Jones County,Joe Biden,DEM,2197,FALSE
North Carolina,Jones County,Jo Jorgensen,LIB,34,FALSE
North Carolina,Jones County,Don Blankenship,CST,5,FALSE
North Carolina,Jones County,Howie Hawkins,GRN,5,FALSE
North Carolina,Jones County, Write-ins,WRI,4,FALSE
North Carolina,Lee County,Donald Trump,REP,16469,TRUE
North Carolina,Lee County,Joe Biden,DEM,12143,FALSE
North Carolina,Lee County,Jo Jorgensen,LIB,235,FALSE
North Carolina,Lee County,Howie Hawkins,GRN,65,FALSE
North Carolina,Lee County, Write-ins,WRI,49,FALSE
North Carolina,Lee County,Don Blankenship,CST,47,FALSE
North Carolina,Lenoir County,Donald Trump,REP,14590,TRUE
North Carolina,Lenoir County,Joe Biden,DEM,13605,FALSE
North Carolina,Lenoir County,Jo Jorgensen,LIB,126,FALSE
North Carolina,Lenoir County,Don Blankenship,CST,30,FALSE
North Carolina,Lenoir County,Howie Hawkins,GRN,29,FALSE
North Carolina,Lenoir County, Write-ins,WRI,29,FALSE
North Carolina,Lincoln County,Donald Trump,REP,36341,TRUE
North Carolina,Lincoln County,Joe Biden,DEM,13274,FALSE
North Carolina,Lincoln County,Jo Jorgensen,LIB,373,FALSE
North Carolina,Lincoln County,Howie Hawkins,GRN,87,FALSE
North Carolina,Lincoln County, Write-ins,WRI,83,FALSE
North Carolina,Lincoln County,Don Blankenship,CST,59,FALSE
North Carolina,McDowell County,Donald Trump,REP,16882,TRUE
North Carolina,McDowell County,Joe Biden,DEM,5832,FALSE
North Carolina,McDowell County,Jo Jorgensen,LIB,184,FALSE
North Carolina,McDowell County,Howie Hawkins,GRN,45,FALSE
North Carolina,McDowell County, Write-ins,WRI,38,FALSE
North Carolina,McDowell County,Don Blankenship,CST,21,FALSE
North Carolina,Macon County,Donald Trump,REP,14211,TRUE
North Carolina,Macon County,Joe Biden,DEM,6230,FALSE
North Carolina,Macon County,Jo Jorgensen,LIB,169,FALSE
North Carolina,Macon County, Write-ins,WRI,78,FALSE
North Carolina,Macon County,Howie Hawkins,GRN,31,FALSE
North Carolina,Macon County,Don Blankenship,CST,24,FALSE
North Carolina,Madison County,Donald Trump,REP,7979,TRUE
North Carolina,Madison County,Joe Biden,DEM,4901,FALSE
North Carolina,Madison County,Jo Jorgensen,LIB,103,FALSE
North Carolina,Madison County,Howie Hawkins,GRN,37,FALSE
North Carolina,Madison County, Write-ins,WRI,37,FALSE
North Carolina,Madison County,Don Blankenship,CST,19,FALSE
North Carolina,Martin County,Donald Trump,REP,6532,TRUE
North Carolina,Martin County,Joe Biden,DEM,5911,FALSE
North Carolina,Martin County,Jo Jorgensen,LIB,59,FALSE
North Carolina,Martin County,Don Blankenship,CST,16,FALSE
North Carolina,Martin County,Howie Hawkins,GRN,13,FALSE
North Carolina,Martin County, Write-ins,WRI,9,FALSE
North Carolina,Mecklenburg County,Joe Biden,DEM,378107,TRUE
North Carolina,Mecklenburg County,Donald Trump,REP,179211,FALSE
North Carolina,Mecklenburg County,Jo Jorgensen,LIB,5427,FALSE
North Carolina,Mecklenburg County, Write-ins,WRI,1934,FALSE
North Carolina,Mecklenburg County,Howie Hawkins,GRN,1611,FALSE
North Carolina,Mecklenburg County,Don Blankenship,CST,763,FALSE
North Carolina,Mitchell County,Donald Trump,REP,7090,TRUE
North Carolina,Mitchell County,Joe Biden,DEM,1867,FALSE
North Carolina,Mitchell County,Jo Jorgensen,LIB,47,FALSE
North Carolina,Mitchell County, Write-ins,WRI,14,FALSE
North Carolina,Mitchell County,Don Blankenship,CST,12,FALSE
North Carolina,Mitchell County,Howie Hawkins,GRN,11,FALSE
North Carolina,Montgomery County,Donald Trump,REP,8411,TRUE
North Carolina,Montgomery County,Joe Biden,DEM,4327,FALSE
North Carolina,Montgomery County,Jo Jorgensen,LIB,78,FALSE
North Carolina,Montgomery County,Howie Hawkins,GRN,13,FALSE
North Carolina,Montgomery County,Don Blankenship,CST,11,FALSE
North Carolina,Montgomery County, Write-ins,WRI,9,FALSE
North Carolina,Moore County,Donald Trump,REP,36764,TRUE
North Carolina,Moore County,Joe Biden,DEM,20779,FALSE
North Carolina,Moore County,Jo Jorgensen,LIB,520,FALSE
North Carolina,Moore County, Write-ins,WRI,121,FALSE
North Carolina,Moore County,Howie Hawkins,GRN,85,FALSE
North Carolina,Moore County,Don Blankenship,CST,70,FALSE
North Carolina,Nash County,Joe Biden,DEM,25947,TRUE
North Carolina,Nash County,Donald Trump,REP,25827,FALSE
North Carolina,Nash County,Jo Jorgensen,LIB,287,FALSE
North Carolina,Nash County, Write-ins,WRI,79,FALSE
North Carolina,Nash County,Howie Hawkins,GRN,75,FALSE
North Carolina,Nash County,Don Blankenship,CST,56,FALSE
North Carolina,New Hanover County,Joe Biden,DEM,66146,TRUE
North Carolina,New Hanover County,Donald Trump,REP,63333,FALSE
North Carolina,New Hanover County,Jo Jorgensen,LIB,1521,FALSE
North Carolina,New Hanover County,Howie Hawkins,GRN,362,FALSE
North Carolina,New Hanover County, Write-ins,WRI,307,FALSE
North Carolina,New Hanover County,Don Blankenship,CST,171,FALSE
North Carolina,Northampton County,Joe Biden,DEM,6069,TRUE
North Carolina,Northampton County,Donald Trump,REP,3989,FALSE
North Carolina,Northampton County,Jo Jorgensen,LIB,30,FALSE
North Carolina,Northampton County,Howie Hawkins,GRN,9,FALSE
North Carolina,Northampton County,Don Blankenship,CST,7,FALSE
North Carolina,Northampton County, Write-ins,WRI,5,FALSE
North Carolina,Onslow County,Donald Trump,REP,46078,TRUE
North Carolina,Onslow County,Joe Biden,DEM,24266,FALSE
North Carolina,Onslow County,Jo Jorgensen,LIB,1506,FALSE
North Carolina,Onslow County, Write-ins,WRI,149,FALSE
North Carolina,Onslow County,Howie Hawkins,GRN,136,FALSE
North Carolina,Onslow County,Don Blankenship,CST,100,FALSE
North Carolina,Orange County,Joe Biden,DEM,63594,TRUE
North Carolina,Orange County,Donald Trump,REP,20176,FALSE
North Carolina,Orange County,Jo Jorgensen,LIB,653,FALSE
North Carolina,Orange County, Write-ins,WRI,275,FALSE
North Carolina,Orange County,Howie Hawkins,GRN,217,FALSE
North Carolina,Orange County,Don Blankenship,CST,82,FALSE
North Carolina,Pamlico County,Donald Trump,REP,4849,TRUE
North Carolina,Pamlico County,Joe Biden,DEM,2713,FALSE
North Carolina,Pamlico County,Jo Jorgensen,LIB,44,FALSE
North Carolina,Pamlico County,Howie Hawkins,GRN,10,FALSE
North Carolina,Pamlico County, Write-ins,WRI,10,FALSE
North Carolina,Pamlico County,Don Blankenship,CST,5,FALSE
North Carolina,Pasquotank County,Joe Biden,DEM,9832,TRUE
North Carolina,Pasquotank County,Donald Trump,REP,9770,FALSE
North Carolina,Pasquotank County,Jo Jorgensen,LIB,161,FALSE
North Carolina,Pasquotank County, Write-ins,WRI,50,FALSE
North Carolina,Pasquotank County,Howie Hawkins,GRN,48,FALSE
North Carolina,Pasquotank County,Don Blankenship,CST,36,FALSE
North Carolina,Pender County,Donald Trump,REP,21956,TRUE
North Carolina,Pender County,Joe Biden,DEM,11723,FALSE
North Carolina,Pender County,Jo Jorgensen,LIB,329,FALSE
North Carolina,Pender County,Howie Hawkins,GRN,63,FALSE
North Carolina,Pender County, Write-ins,WRI,52,FALSE
North Carolina,Pender County,Don Blankenship,CST,46,FALSE
North Carolina,Perquimans County,Donald Trump,REP,4903,TRUE
North Carolina,Perquimans County,Joe Biden,DEM,2492,FALSE
North Carolina,Perquimans County,Jo Jorgensen,LIB,44,FALSE
North Carolina,Perquimans County,Howie Hawkins,GRN,18,FALSE
North Carolina,Perquimans County,Don Blankenship,CST,16,FALSE
North Carolina,Perquimans County, Write-ins,WRI,11,FALSE
North Carolina,Person County,Donald Trump,REP,13184,TRUE
North Carolina,Person County,Joe Biden,DEM,8465,FALSE
North Carolina,Person County,Jo Jorgensen,LIB,144,FALSE
North Carolina,Person County,Howie Hawkins,GRN,42,FALSE
North Carolina,Person County,Don Blankenship,CST,36,FALSE
North Carolina,Person County, Write-ins,WRI,23,FALSE
North Carolina,Pitt County,Joe Biden,DEM,47252,TRUE
North Carolina,Pitt County,Donald Trump,REP,38982,FALSE
North Carolina,Pitt County,Jo Jorgensen,LIB,796,FALSE
North Carolina,Pitt County,Howie Hawkins,GRN,210,FALSE
North Carolina,Pitt County, Write-ins,WRI,208,FALSE
North Carolina,Pitt County,Don Blankenship,CST,125,FALSE
North Carolina,Polk County,Donald Trump,REP,7689,TRUE
North Carolina,Polk County,Joe Biden,DEM,4518,FALSE
North Carolina,Polk County,Jo Jorgensen,LIB,86,FALSE
North Carolina,Polk County, Write-ins,WRI,25,FALSE
North Carolina,Polk County,Howie Hawkins,GRN,23,FALSE
North Carolina,Polk County,Don Blankenship,CST,17,FALSE
North Carolina,Randolph County,Donald Trump,REP,56894,TRUE
North Carolina,Randolph County,Joe Biden,DEM,15618,FALSE
North Carolina,Randolph County,Jo Jorgensen,LIB,506,FALSE
North Carolina,Randolph County,Howie Hawkins,GRN,123,FALSE
North Carolina,Randolph County, Write-ins,WRI,100,FALSE
North Carolina,Randolph County,Don Blankenship,CST,75,FALSE
North Carolina,Richmond County,Donald Trump,REP,11830,TRUE
North Carolina,Richmond County,Joe Biden,DEM,8754,FALSE
North Carolina,Richmond County,Jo Jorgensen,LIB,99,FALSE
North Carolina,Richmond County,Howie Hawkins,GRN,35,FALSE
North Carolina,Richmond County,Don Blankenship,CST,24,FALSE
North Carolina,Richmond County, Write-ins,WRI,21,FALSE
North Carolina,Robeson County,Donald Trump,REP,26012,TRUE
North Carolina,Robeson County,Joe Biden,DEM,18094,FALSE
North Carolina,Robeson County,Jo Jorgensen,LIB,152,FALSE
North Carolina,Robeson County,Howie Hawkins,GRN,68,FALSE
North Carolina,Robeson County, Write-ins,WRI,64,FALSE
North Carolina,Robeson County,Don Blankenship,CST,58,FALSE
North Carolina,Rockingham County,Donald Trump,REP,31220,TRUE
North Carolina,Rockingham County,Joe Biden,DEM,15952,FALSE
North Carolina,Rockingham County,Jo Jorgensen,LIB,312,FALSE
North Carolina,Rockingham County,Howie Hawkins,GRN,75,FALSE
North Carolina,Rockingham County, Write-ins,WRI,74,FALSE
North Carolina,Rockingham County,Don Blankenship,CST,55,FALSE
North Carolina,Rowan County,Donald Trump,REP,49297,TRUE
North Carolina,Rowan County,Joe Biden,DEM,23114,FALSE
North Carolina,Rowan County,Jo Jorgensen,LIB,577,FALSE
North Carolina,Rowan County, Write-ins,WRI,167,FALSE
North Carolina,Rowan County,Howie Hawkins,GRN,154,FALSE
North Carolina,Rowan County,Don Blankenship,CST,99,FALSE
North Carolina,Rutherford County,Donald Trump,REP,24891,TRUE
North Carolina,Rutherford County,Joe Biden,DEM,9135,FALSE
North Carolina,Rutherford County,Jo Jorgensen,LIB,218,FALSE
North Carolina,Rutherford County, Write-ins,WRI,72,FALSE
North Carolina,Rutherford County,Howie Hawkins,GRN,60,FALSE
North Carolina,Rutherford County,Don Blankenship,CST,53,FALSE
North Carolina,Sampson County,Donald Trump,REP,17412,TRUE
North Carolina,Sampson County,Joe Biden,DEM,10962,FALSE
North Carolina,Sampson County,Jo Jorgensen,LIB,143,FALSE
North Carolina,Sampson County, Write-ins,WRI,46,FALSE
North Carolina,Sampson County,Don Blankenship,CST,29,FALSE
North Carolina,Sampson County,Howie Hawkins,GRN,23,FALSE
North Carolina,Scotland County,Donald Trump,REP,7473,TRUE
North Carolina,Scotland County,Joe Biden,DEM,7186,FALSE
North Carolina,Scotland County,Jo Jorgensen,LIB,54,FALSE
North Carolina,Scotland County,Howie Hawkins,GRN,31,FALSE
North Carolina,Scotland County, Write-ins,WRI,17,FALSE
North Carolina,Scotland County,Don Blankenship,CST,14,FALSE
North Carolina,Stanly County,Donald Trump,REP,25458,TRUE
North Carolina,Stanly County,Joe Biden,DEM,8129,FALSE
North Carolina,Stanly County,Jo Jorgensen,LIB,225,FALSE
North Carolina,Stanly County,Don Blankenship,CST,48,FALSE
North Carolina,Stanly County, Write-ins,WRI,47,FALSE
North Carolina,Stanly County,Howie Hawkins,GRN,32,FALSE
North Carolina,Stokes County,Donald Trump,REP,20143,TRUE
North Carolina,Stokes County,Joe Biden,DEM,5286,FALSE
North Carolina,Stokes County,Jo Jorgensen,LIB,180,FALSE
North Carolina,Stokes County, Write-ins,WRI,34,FALSE
North Carolina,Stokes County,Howie Hawkins,GRN,30,FALSE
North Carolina,Stokes County,Don Blankenship,CST,29,FALSE
North Carolina,Surry County,Donald Trump,REP,27538,TRUE
North Carolina,Surry County,Joe Biden,DEM,8721,FALSE
North Carolina,Surry County,Jo Jorgensen,LIB,235,FALSE
North Carolina,Surry County, Write-ins,WRI,57,FALSE
North Carolina,Surry County,Howie Hawkins,GRN,45,FALSE
North Carolina,Surry County,Don Blankenship,CST,42,FALSE
North Carolina,Swain County,Donald Trump,REP,4161,TRUE
North Carolina,Swain County,Joe Biden,DEM,2780,FALSE
North Carolina,Swain County,Jo Jorgensen,LIB,72,FALSE
North Carolina,Swain County,Don Blankenship,CST,19,FALSE
North Carolina,Swain County,Howie Hawkins,GRN,19,FALSE
North Carolina,Swain County, Write-ins,WRI,17,FALSE
North Carolina,Transylvania County,Donald Trump,REP,11636,TRUE
North Carolina,Transylvania County,Joe Biden,DEM,8444,FALSE
North Carolina,Transylvania County,Jo Jorgensen,LIB,180,FALSE
North Carolina,Transylvania County, Write-ins,WRI,60,FALSE
North Carolina,Transylvania County,Howie Hawkins,GRN,50,FALSE
North Carolina,Transylvania County,Don Blankenship,CST,34,FALSE
North Carolina,Tyrrell County,Donald Trump,REP,1044,TRUE
North Carolina,Tyrrell County,Joe Biden,DEM,758,FALSE
North Carolina,Tyrrell County,Jo Jorgensen,LIB,8,FALSE
North Carolina,Tyrrell County, Write-ins,WRI,3,FALSE
North Carolina,Tyrrell County,Don Blankenship,CST,2,FALSE
North Carolina,Tyrrell County,Howie Hawkins,GRN,2,FALSE
North Carolina,Union County,Donald Trump,REP,80382,TRUE
North Carolina,Union County,Joe Biden,DEM,48725,FALSE
North Carolina,Union County,Jo Jorgensen,LIB,1136,FALSE
North Carolina,Union County, Write-ins,WRI,359,FALSE
North Carolina,Union County,Howie Hawkins,GRN,238,FALSE
North Carolina,Union County,Don Blankenship,CST,171,FALSE
North Carolina,Vance County,Joe Biden,DEM,12431,TRUE
North Carolina,Vance County,Donald Trump,REP,8391,FALSE
North Carolina,Vance County,Jo Jorgensen,LIB,94,FALSE
North Carolina,Vance County,Don Blankenship,CST,34,FALSE
North Carolina,Vance County, Write-ins,WRI,25,FALSE
North Carolina,Vance County,Howie Hawkins,GRN,24,FALSE
North Carolina,Wake County,Joe Biden,DEM,393335,TRUE
North Carolina,Wake County,Donald Trump,REP,226197,FALSE
North Carolina,Wake County,Jo Jorgensen,LIB,7514,FALSE
North Carolina,Wake County, Write-ins,WRI,2287,FALSE
North Carolina,Wake County,Howie Hawkins,GRN,1612,FALSE
North Carolina,Wake County,Don Blankenship,CST,884,FALSE
North Carolina,Warren County,Joe Biden,DEM,6400,TRUE
North Carolina,Warren County,Donald Trump,REP,3752,FALSE
North Carolina,Warren County,Jo Jorgensen,LIB,63,FALSE
North Carolina,Warren County,Don Blankenship,CST,32,FALSE
North Carolina,Warren County,Howie Hawkins,GRN,29,FALSE
North Carolina,Warren County, Write-ins,WRI,17,FALSE
North Carolina,Washington County,Joe Biden,DEM,3849,TRUE
North Carolina,Washington County,Donald Trump,REP,2991,FALSE
North Carolina,Washington County,Jo Jorgensen,LIB,19,FALSE
North Carolina,Washington County,Don Blankenship,CST,8,FALSE
North Carolina,Washington County,Howie Hawkins,GRN,2,FALSE
North Carolina,Washington County, Write-ins,WRI,2,FALSE
North Carolina,Watauga County,Joe Biden,DEM,17122,TRUE
North Carolina,Watauga County,Donald Trump,REP,14451,FALSE
North Carolina,Watauga County,Jo Jorgensen,LIB,386,FALSE
North Carolina,Watauga County, Write-ins,WRI,115,FALSE
North Carolina,Watauga County,Howie Hawkins,GRN,103,FALSE
North Carolina,Watauga County,Don Blankenship,CST,43,FALSE
North Carolina,Wayne County,Donald Trump,REP,30709,TRUE
North Carolina,Wayne County,Joe Biden,DEM,24215,FALSE
North Carolina,Wayne County,Jo Jorgensen,LIB,378,FALSE
North Carolina,Wayne County,Howie Hawkins,GRN,92,FALSE
North Carolina,Wayne County, Write-ins,WRI,72,FALSE
North Carolina,Wayne County,Don Blankenship,CST,71,FALSE
North Carolina,Wilkes County,Donald Trump,REP,27591,TRUE
North Carolina,Wilkes County,Joe Biden,DEM,7510,FALSE
North Carolina,Wilkes County,Jo Jorgensen,LIB,214,FALSE
North Carolina,Wilkes County,Don Blankenship,CST,57,FALSE
North Carolina,Wilkes County, Write-ins,WRI,52,FALSE
North Carolina,Wilkes County,Howie Hawkins,GRN,40,FALSE
North Carolina,Wilson County,Joe Biden,DEM,20754,TRUE
North Carolina,Wilson County,Donald Trump,REP,19581,FALSE
North Carolina,Wilson County,Jo Jorgensen,LIB,245,FALSE
North Carolina,Wilson County, Write-ins,WRI,58,FALSE
North Carolina,Wilson County,Howie Hawkins,GRN,56,FALSE
North Carolina,Wilson County,Don Blankenship,CST,41,FALSE
North Carolina,Yadkin County,Donald Trump,REP,15933,TRUE
North Carolina,Yadkin County,Joe Biden,DEM,3763,FALSE
North Carolina,Yadkin County,Jo Jorgensen,LIB,131,FALSE
North Carolina,Yadkin County, Write-ins,WRI,35,FALSE
North Carolina,Yadkin County,Don Blankenship,CST,33,FALSE
North Carolina,Yadkin County,Howie Hawkins,GRN,28,FALSE
North Carolina,Yancey County,Donald Trump,REP,7516,TRUE
North Carolina,Yancey County,Joe Biden,DEM,3688,FALSE
North Carolina,Yancey County,Jo Jorgensen,LIB,82,FALSE
North Carolina,Yancey County,Howie Hawkins,GRN,27,FALSE
North Carolina,Yancey County, Write-ins,WRI,21,FALSE
North Carolina,Yancey County,Don Blankenship,CST,18,FALSE
North Dakota,Adams County,Donald Trump,REP,981,TRUE
North Dakota,Adams County,Joe Biden,DEM,258,FALSE
North Dakota,Adams County,Jo Jorgensen,LIB,30,FALSE
North Dakota,Adams County, Write-ins,WRI,0,FALSE
North Dakota,Barnes County,Donald Trump,REP,3568,TRUE
North Dakota,Barnes County,Joe Biden,DEM,1820,FALSE
North Dakota,Barnes County,Jo Jorgensen,LIB,161,FALSE
North Dakota,Barnes County, Write-ins,WRI,16,FALSE
North Dakota,Benson County,Donald Trump,REP,1094,TRUE
North Dakota,Benson County,Joe Biden,DEM,822,FALSE
North Dakota,Benson County,Jo Jorgensen,LIB,39,FALSE
North Dakota,Benson County, Write-ins,WRI,6,FALSE
North Dakota,Billings County,Donald Trump,REP,541,TRUE
North Dakota,Billings County,Joe Biden,DEM,72,FALSE
North Dakota,Billings County,Jo Jorgensen,LIB,21,FALSE
North Dakota,Billings County, Write-ins,WRI,1,FALSE
North Dakota,Bottineau County,Donald Trump,REP,2575,TRUE
North Dakota,Bottineau County,Joe Biden,DEM,821,FALSE
North Dakota,Bottineau County,Jo Jorgensen,LIB,65,FALSE
North Dakota,Bottineau County, Write-ins,WRI,10,FALSE
North Dakota,Bowman County,Donald Trump,REP,1395,TRUE
North Dakota,Bowman County,Joe Biden,DEM,228,FALSE
North Dakota,Bowman County,Jo Jorgensen,LIB,30,FALSE
North Dakota,Bowman County, Write-ins,WRI,4,FALSE
North Dakota,Burke County,Donald Trump,REP,984,TRUE
North Dakota,Burke County,Joe Biden,DEM,136,FALSE
North Dakota,Burke County,Jo Jorgensen,LIB,20,FALSE
North Dakota,Burke County, Write-ins,WRI,4,FALSE
North Dakota,Burleigh County,Donald Trump,REP,34744,TRUE
North Dakota,Burleigh County,Joe Biden,DEM,14348,FALSE
North Dakota,Burleigh County,Jo Jorgensen,LIB,1368,FALSE
North Dakota,Burleigh County, Write-ins,WRI,293,FALSE
North Dakota,Cass County,Donald Trump,REP,42619,TRUE
North Dakota,Cass County,Joe Biden,DEM,40311,FALSE
North Dakota,Cass County,Jo Jorgensen,LIB,2495,FALSE
North Dakota,Cass County, Write-ins,WRI,628,FALSE
North Dakota,Cavalier County,Donald Trump,REP,1499,TRUE
North Dakota,Cavalier County,Joe Biden,DEM,474,FALSE
